,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,^VIX,^VIX,^VIX,^VIX,^VIX,^VIX,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
2018-03-14,1.2956600189208984,1.2973999977111816,1.2923500537872314,1.295699954032898,1.295699954032898,0.0,16.59000015258789,17.59000015258789,14.9399995803833,17.229999542236328,17.229999542236328,0.0,15696.599609375,15712.599609375,15619.7001953125,15653.599609375,15653.599609375,16770210000.0,2774.06005859375,2777.110107421875,2744.3798828125,2749.47998046875,2749.47998046875,3391360000.0
2018-03-15,1.2953799962997437,1.3061399459838867,1.2945599555969238,1.295199990272522,1.295199990272522,0.0,16.989999771118164,17.40999984741211,15.960000038146973,16.59000015258789,16.59000015258789,0.0,15687.900390625,15735.2998046875,15642.400390625,15670.599609375,15670.599609375,18661180000.0,2754.27001953125,2763.030029296875,2741.469970703125,2747.330078125,2747.330078125,3500330000.0
2018-03-16,1.3055299520492554,1.3097000122070312,1.3044999837875366,1.3051700592041016,1.3051700592041016,0.0,16.600000381469727,16.719999313354492,15.229999542236328,15.800000190734863,15.800000190734863,0.0,15694.2998046875,15791.2001953125,15694.2998046875,15711.2998046875,15711.2998046875,47826880000.0,2750.570068359375,2761.85009765625,2749.969970703125,2752.010009765625,2752.010009765625,5372340000.0
2018-03-19,1.309380054473877,1.312440037727356,1.3053499460220337,1.3092000484466553,1.3092000484466553,0.0,16.6299991607666,21.8700008392334,16.559999465942383,19.020000457763672,19.020000457763672,0.0,15693.099609375,15693.099609375,15540.900390625,15589.400390625,15589.400390625,17599380000.0,2741.3798828125,2741.3798828125,2694.590087890625,2712.919921875,2712.919921875,3302130000.0
2018-03-20,1.3081799745559692,1.309939980506897,1.3057600259780884,1.3080600500106812,1.3080600500106812,0.0,18.3799991607666,19.309999465942383,18.09000015258789,18.200000762939453,18.200000762939453,0.0,15608.7998046875,15642.5,15593.099609375,15616.400390625,15616.400390625,21589840000.0,2715.050048828125,2724.219970703125,2710.050048828125,2716.93994140625,2716.93994140625,3261030000.0
2018-03-21,1.3074400424957275,1.3075300455093384,1.2950600385665894,1.3074400424957275,1.3074400424957275,0.0,17.760000228881836,18.3700008392334,16.260000228881836,17.860000610351562,17.860000610351562,0.0,15593.900390625,15741.5,15580.599609375,15675.2998046875,15675.2998046875,26138810000.0,2714.989990234375,2739.139892578125,2709.7900390625,2711.929931640625,2711.929931640625,3415510000.0
2018-03-22,1.2898099422454834,1.2933199405670166,1.2829500436782837,1.289720058441162,1.289720058441162,0.0,18.1299991607666,23.809999465942383,18.1200008392334,23.34000015258789,23.34000015258789,0.0,15563.5,15570.900390625,15387.099609375,15399.900390625,15399.900390625,23035260000.0,2691.360107421875,2695.679931640625,2641.590087890625,2643.68994140625,2643.68994140625,3739800000.0
2018-03-23,1.2929999828338623,1.2935199737548828,1.2825499773025513,1.2931100130081177,1.2931100130081177,0.0,24.020000457763672,26.010000228881836,21.6299991607666,24.8700008392334,24.8700008392334,0.0,15415.400390625,15455.599609375,15203.900390625,15223.7001953125,15223.7001953125,21391190000.0,2646.7099609375,2657.669921875,2585.889892578125,2588.260009765625,2588.260009765625,3815080000.0
2018-03-26,1.2879999876022339,1.2918699979782104,1.284000039100647,1.2880699634552002,1.2880699634552002,0.0,23.40999984741211,24.540000915527344,20.709999084472656,21.030000686645508,21.030000686645508,0.0,15334.2001953125,15356.900390625,15211.400390625,15298.599609375,15298.599609375,21398410000.0,2619.35009765625,2661.360107421875,2601.81005859375,2658.550048828125,2658.550048828125,3511100000.0
2018-03-27,1.2836500406265259,1.2900300025939941,1.2815200090408325,1.2836099863052368,1.2836099863052368,0.0,20.329999923706055,24.059999465942383,19.84000015258789,22.5,22.5,0.0,15307.7998046875,15367.5,15171.7998046875,15216.2001953125,15216.2001953125,21205820000.0,2667.570068359375,2674.780029296875,2596.1201171875,2612.6201171875,2612.6201171875,3706350000.0
